Index       TIME              V(A)              V(B)             V(CIN)             V(D)              V(S)              V(C)             V(_04_)           V(_05_)           V(_01_)           V(_02_)           V(_03_)           V(_00_)     
100      7.77306889e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.32768267e-01    1.19999624e+00    1.28878298e-08    1.20000000e+00    1.20000000e+00    1.19999999e+00    4.99801016e-05    1.19999999e+00    7.41405156e-07
101      7.97306889e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.56768267e-01    1.19999784e+00    1.28878296e-08    1.20000000e+00    1.20000000e+00    1.20000000e+00    3.90962571e-05    1.19999999e+00    7.05281782e-07
102      8.17306889e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    9.80768267e-01    1.19999742e+00    1.28878298e-08    1.20000000e+00    1.20000000e+00    1.19999999e+00    3.42362869e-05    1.19999999e+00    6.71752680e-07
103      8.37306889e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.00476827e+00    1.19999850e+00    1.28878296e-08    1.20000000e+00    1.20000000e+00    1.20000000e+00    2.77240605e-05    1.19999999e+00    6.40573051e-07
104      8.57306889e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.02876827e+00    1.19999812e+00    1.28878298e-08    1.20000000e+00    1.20000000e+00    1.19999999e+00    2.48943822e-05    1.19999999e+00    6.11530349e-07
105      8.77306889e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.05276827e+00    1.19999889e+00    1.28878296e-08    1.20000000e+00    1.20000000e+00    1.19999999e+00    2.07028303e-05    1.19999999e+00    5.84431814e-07
106      8.97306889e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.07676827e+00    1.19999858e+00    1.28878298e-08    1.20000000e+00    1.20000000e+00    1.19999999e+00    1.89055329e-05    1.19999999e+00    5.59109362e-07
107      9.17306889e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.10076827e+00    1.19999913e+00    1.28878296e-08    1.20000000e+00    1.20000000e+00    1.19999999e+00    1.60574203e-05    1.19999999e+00    5.35409545e-07
108      9.37306889e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.12476827e+00    1.19999890e+00    1.28878298e-08    1.20000000e+00    1.20000000e+00    1.19999999e+00    1.48418373e-05    1.19999999e+00    5.13198027e-07
109      9.57306889e-09    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.14876827e+00    1.19999930e+00    1.28878296e-08    1.20000000e+00    1.20000000e+00    1.19999999e+00    1.28204844e-05    1.19999999e+00    4.92351433e-07
