Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)             V(COUT)           V(_0_)            V(_1_)            V(_2_)      
122      5.89514788e-08    0.00000000e+00    0.00000000e+00    6.71360908e-01    1.20000000e+00    7.49882147e-02    9.83566310e-02    5.50372093e-01    1.19187699e+00    1.19999999e+00
123      5.89569115e-08    0.00000000e+00    0.00000000e+00    6.71768362e-01    1.20000000e+00    4.66896081e-02    1.20920376e-01    5.41036409e-01    1.19361752e+00    1.19999999e+00
124      5.89623442e-08    0.00000000e+00    0.00000000e+00    6.72175816e-01    1.20000000e+00    2.88930218e-02    1.47318677e-01    5.31224117e-01    1.19468743e+00    1.19999999e+00
125      5.89677769e-08    0.00000000e+00    0.00000000e+00    6.72583271e-01    1.20000000e+00    1.78019084e-02    1.77792309e-01    5.20810721e-01    1.19542573e+00    1.19999999e+00
126      5.89732097e-08    0.00000000e+00    0.00000000e+00    6.72990725e-01    1.20000000e+00    1.09393748e-02    2.12647017e-01    5.09621715e-01    1.19598372e+00    1.19999999e+00
127      5.89786424e-08    0.00000000e+00    0.00000000e+00    6.73398179e-01    1.20000000e+00    6.71076139e-03    2.52283313e-01    4.97411424e-01    1.19643125e+00    1.19999999e+00
128      5.89840751e-08    0.00000000e+00    0.00000000e+00    6.73805633e-01    1.20000000e+00    4.11234080e-03    2.97296049e-01    4.84048698e-01    1.19680315e+00    1.19999999e+00
129      5.89895078e-08    0.00000000e+00    0.00000000e+00    6.74213087e-01    1.20000000e+00    2.51832174e-03    3.48482964e-01    4.69634262e-01    1.19711882e+00    1.19999999e+00
130      5.89949405e-08    0.00000000e+00    0.00000000e+00    6.74620541e-01    1.20000000e+00    1.54151144e-03    4.06713985e-01    4.54326076e-01    1.19739044e+00    1.19999999e+00
131      5.90003733e-08    0.00000000e+00    0.00000000e+00    6.75027995e-01    1.20000000e+00    9.43325759e-04    4.72874522e-01    4.38248759e-01    1.19762645e+00    1.19999999e+00
