Index       TIME              V(A)              V(C)              V(D)              V(S)             V(COUT)           V(_0_)            V(_1_)      
2737     1.32425000e-07    1.20000000e+00    0.00000000e+00    2.91000000e-01    1.20000000e+00    1.60124630e-09    1.19999997e+00    1.19999994e+00
2738     1.32475000e-07    1.20000000e+00    0.00000000e+00    2.97000000e-01    1.20000000e+00    1.60124630e-09    1.19999997e+00    1.19999994e+00
2739     1.32525000e-07    1.20000000e+00    0.00000000e+00    3.03000000e-01    1.20000000e+00    1.60124630e-09    1.19999997e+00    1.19999994e+00
2740     1.32575000e-07    1.20000000e+00    0.00000000e+00    3.09000000e-01    1.20000000e+00    1.60124630e-09    1.19999997e+00    1.19999994e+00
2741     1.32625000e-07    1.20000000e+00    0.00000000e+00    3.15000000e-01    1.20000000e+00    1.60124630e-09    1.19999997e+00    1.19999994e+00
2742     1.32675000e-07    1.20000000e+00    0.00000000e+00    3.21000000e-01    1.20000000e+00    1.60124630e-09    1.19999997e+00    1.19999994e+00
2743     1.32725000e-07    1.20000000e+00    0.00000000e+00    3.27000000e-01    1.20000000e+00    1.60124630e-09    1.19999997e+00    1.19999994e+00
2744     1.32775000e-07    1.20000000e+00    0.00000000e+00    3.33000000e-01    1.20000000e+00    1.60124630e-09    1.19999997e+00    1.19999994e+00
2745     1.32825000e-07    1.20000000e+00    0.00000000e+00    3.39000000e-01    1.20000000e+00    1.60124630e-09    1.19999997e+00    1.19999994e+00
2746     1.32875000e-07    1.20000000e+00    0.00000000e+00    3.45000000e-01    1.20000000e+00    1.60124630e-09    1.19999997e+00    1.19999994e+00
2747     1.32925000e-07    1.20000000e+00    0.00000000e+00    3.51000000e-01    1.20000000e+00    1.60124630e-09    1.19999997e+00    1.19999994e+00
2748     1.32975000e-07    1.20000000e+00    0.00000000e+00    3.57000000e-01    1.20000000e+00    1.60124630e-09    1.19999997e+00    1.19999994e+00
2749     1.33025000e-07    1.20000000e+00    0.00000000e+00    3.63000000e-01    1.20000000e+00    1.60124630e-09    1.19999997e+00    1.19999994e+00
2750     1.33075000e-07    1.20000000e+00    0.00000000e+00    3.69000000e-01    1.20000000e+00    1.60124630e-09    1.19999997e+00    1.19999994e+00
2751     1.33125000e-07    1.20000000e+00    0.00000000e+00    3.75000000e-01    1.20000000e+00    1.60124630e-09    1.19999997e+00    1.19999994e+00
2752     1.33175000e-07    1.20000000e+00    0.00000000e+00    3.81000000e-01    1.20000000e+00    1.60124630e-09    1.19999997e+00    1.19999994e+00
2753     1.33225000e-07    1.20000000e+00    0.00000000e+00    3.87000000e-01    1.20000000e+00    1.60124630e-09    1.19999997e+00    1.19999994e+00
2754     1.33275000e-07    1.20000000e+00    0.00000000e+00    3.93000000e-01    1.20000000e+00    1.60124630e-09    1.19999997e+00    1.19999994e+00
2755     1.33325000e-07    1.20000000e+00    0.00000000e+00    3.99000000e-01    1.20000000e+00    1.60124630e-09    1.19999997e+00    1.19999994e+00
2756     1.33375000e-07    1.20000000e+00    0.00000000e+00    4.05000000e-01    1.20000000e+00    1.60124630e-09    1.19999997e+00    1.19999995e+00
2757     1.33425000e-07    1.20000000e+00    0.00000000e+00    4.11000000e-01    1.20000000e+00    1.60124630e-09    1.19999997e+00    1.19999995e+00
2758     1.33475000e-07    1.20000000e+00    0.00000000e+00    4.17000000e-01    1.20000000e+00    1.60124630e-09    1.19999996e+00    1.19999995e+00
2759     1.33525000e-07    1.20000000e+00    0.00000000e+00    4.23000000e-01    1.20000000e+00    1.60124630e-09    1.19999996e+00    1.19999995e+00
2760     1.33575000e-07    1.20000000e+00    0.00000000e+00    4.29000000e-01    1.20000000e+00    1.60124631e-09    1.19999996e+00    1.19999995e+00
2761     1.33625000e-07    1.20000000e+00    0.00000000e+00    4.35000000e-01    1.20000000e+00    1.60124631e-09    1.19999996e+00    1.19999995e+00
2762     1.33675000e-07    1.20000000e+00    0.00000000e+00    4.41000000e-01    1.20000000e+00    1.60124631e-09    1.19999996e+00    1.19999995e+00
2763     1.33725000e-07    1.20000000e+00    0.00000000e+00    4.47000000e-01    1.20000000e+00    1.60124631e-09    1.19999996e+00    1.19999995e+00
2764     1.33775000e-07    1.20000000e+00    0.00000000e+00    4.53000000e-01    1.20000000e+00    1.60124631e-09    1.19999996e+00    1.19999995e+00
2765     1.33825000e-07    1.20000000e+00    0.00000000e+00    4.59000000e-01    1.20000000e+00    1.60124631e-09    1.19999996e+00    1.19999995e+00
2766     1.33875000e-07    1.20000000e+00    0.00000000e+00    4.65000000e-01    1.20000000e+00    1.60124631e-09    1.19999996e+00    1.19999995e+00
2767     1.33925000e-07    1.20000000e+00    0.00000000e+00    4.71000000e-01    1.20000000e+00    1.60124631e-09    1.19999996e+00    1.19999995e+00
2768     1.33975000e-07    1.20000000e+00    0.00000000e+00    4.77000000e-01    1.20000000e+00    1.60124632e-09    1.19999996e+00    1.19999995e+00
2769     1.34025000e-07    1.20000000e+00    0.00000000e+00    4.83000000e-01    1.20000000e+00    1.60124632e-09    1.19999996e+00    1.19999995e+00
2770     1.34075000e-07    1.20000000e+00    0.00000000e+00    4.89000000e-01    1.20000000e+00    1.60124632e-09    1.19999995e+00    1.19999995e+00
2771     1.34125000e-07    1.20000000e+00    0.00000000e+00    4.95000000e-01    1.20000000e+00    1.60124632e-09    1.19999995e+00    1.19999995e+00
2772     1.34175000e-07    1.20000000e+00    0.00000000e+00    5.01000000e-01    1.20000000e+00    1.60124633e-09    1.19999995e+00    1.19999995e+00
2773     1.34225000e-07    1.20000000e+00    0.00000000e+00    5.07000000e-01    1.20000000e+00    1.60124640e-09    1.19999985e+00    1.19999995e+00
2774     1.34275000e-07    1.20000000e+00    0.00000000e+00    5.13000000e-01    1.20000000e+00    1.60124765e-09    1.19999800e+00    1.19999995e+00
2775     1.34325000e-07    1.20000000e+00    0.00000000e+00    5.19000000e-01    1.20000000e+00    1.60125999e-09    1.19998163e+00    1.19999995e+00
2776     1.34375000e-07    1.20000000e+00    0.00000000e+00    5.25000000e-01    1.20000000e+00    1.60132071e-09    1.19990662e+00    1.19999995e+00
2777     1.34425000e-07    1.20000000e+00    0.00000000e+00    5.31000000e-01    1.20000000e+00    1.60151945e-09    1.19967478e+00    1.19999995e+00
2778     1.34475000e-07    1.20000000e+00    0.00000000e+00    5.37000000e-01    1.20000000e+00    1.60200796e-09    1.19913675e+00    1.19999995e+00
2779     1.34525000e-07    1.20000000e+00    0.00000000e+00    5.43000000e-01    1.20000000e+00    1.60296222e-09    1.19814184e+00    1.19999995e+00
2780     1.34575000e-07    1.20000000e+00    0.00000000e+00    5.49000000e-01    1.20000000e+00    1.60451270e-09    1.19660462e+00    1.19999995e+00
2781     1.34625000e-07    1.20000000e+00    0.00000000e+00    5.55000000e-01    1.20000000e+00    1.60670136e-09    1.19452424e+00    1.19999995e+00
2782     1.34675000e-07    1.20000000e+00    0.00000000e+00    5.61000000e-01    1.20000000e+00    1.60950965e-09    1.19193539e+00    1.19999995e+00
2783     1.34725000e-07    1.20000000e+00    0.00000000e+00    5.67000000e-01    1.20000000e+00    1.61293168e-09    1.18883930e+00    1.19999995e+00
2784     1.34775000e-07    1.20000000e+00    0.00000000e+00    5.73000000e-01    1.20000000e+00    1.61703437e-09    1.18516720e+00    1.19999995e+00
2785     1.34825000e-07    1.20000000e+00    0.00000000e+00    5.79000000e-01    1.20000000e+00    1.62197902e-09    1.18077558e+00    1.19999995e+00
2786     1.34875000e-07    1.20000000e+00    0.00000000e+00    5.85000000e-01    1.20000000e+00    1.62803257e-09    1.17544143e+00    1.19999995e+00
2787     1.34925000e-07    1.20000000e+00    0.00000000e+00    5.91000000e-01    1.20000000e+00    1.63560849e-09    1.16882821e+00    1.19999995e+00
2788     1.34975000e-07    1.20000000e+00    0.00000000e+00    5.97000000e-01    1.20000000e+00    1.64538013e-09    1.16039132e+00    1.19999995e+00
2789     1.35025000e-07    1.20000000e+00    0.00000000e+00    6.03000000e-01    1.20000000e+00    1.65857183e-09    1.14913868e+00    1.19999995e+00
2790     1.35075000e-07    1.20000000e+00    0.00000000e+00    6.09000000e-01    1.20000000e+00    1.67782038e-09    1.13291845e+00    1.19999995e+00
2791     1.35125000e-07    1.20000000e+00    0.00000000e+00    6.15000000e-01    1.20000000e+00    1.71077258e-09    1.10549258e+00    1.19999995e+00
2792     1.35175000e-07    1.20000000e+00    0.00000000e+00    6.21000000e-01    1.20000000e+00    1.77186375e-09    1.05965372e+00    1.19999995e+00
2793     1.35225000e-07    1.20000000e+00    0.00000000e+00    6.27000000e-01    1.20000000e+00    1.88108126e-09    9.92785492e-01    1.19999995e+00
2794     1.35275000e-07    1.20000000e+00    0.00000000e+00    6.33000000e-01    1.20000000e+00    2.07216079e-09    9.04973768e-01    1.19999995e+00
2795     1.35325000e-07    1.20000000e+00    0.00000000e+00    6.39000000e-01    1.20000000e+00    2.42672775e-09    7.96303767e-01    1.19999995e+00
2796     1.35375000e-07    1.20000000e+00    0.00000000e+00    6.45000000e-01    1.20000000e+00    1.46507500e-03    6.68714996e-01    1.19999995e+00
2797     1.35381424e-07    1.20000000e+00    0.00000000e+00    6.45770838e-01    1.20000000e+00    2.52687062e-03    6.51861843e-01    1.19999995e+00
2798     1.35394271e-07    1.20000000e+00    0.00000000e+00    6.47312515e-01    1.20000000e+00    6.73268088e-03    6.20046992e-01    1.19999995e+00
2799     1.35407118e-07    1.20000000e+00    0.00000000e+00    6.48854192e-01    1.20000000e+00    1.57412348e-02    5.91624360e-01    1.19999995e+00
2800     1.35419966e-07    1.20000000e+00    0.00000000e+00    6.50395869e-01    1.20000000e+00    3.10580841e-02    5.65543609e-01    1.19999995e+00
2801     1.35432813e-07    1.20000000e+00    0.00000000e+00    6.51937546e-01    1.20000000e+00    5.51123035e-02    5.40627457e-01    1.19999995e+00
2802     1.35445660e-07    1.20000000e+00    0.00000000e+00    6.53479223e-01    1.20000000e+00    9.01222976e-02    5.16062644e-01    1.19999995e+00
2803     1.35458507e-07    1.20000000e+00    0.00000000e+00    6.55020900e-01    1.20000000e+00    1.36942713e-01    4.91408601e-01    1.19999995e+00
2804     1.35471355e-07    1.20000000e+00    0.00000000e+00    6.56562576e-01    1.20000000e+00    1.96466525e-01    4.66448673e-01    1.19999995e+00
2805     1.35484202e-07    1.20000000e+00    0.00000000e+00    6.58104253e-01    1.20000000e+00    2.70276270e-01    4.41070828e-01    1.19999995e+00
2806     1.35497049e-07    1.20000000e+00    0.00000000e+00    6.59645930e-01    1.20000000e+00    3.60208688e-01    4.15208991e-01    1.19999995e+00
2807     1.35509897e-07    1.20000000e+00    0.00000000e+00    6.61187607e-01    1.20000000e+00    4.68223987e-01    3.88819726e-01    1.19999995e+00
2808     1.35522744e-07    1.20000000e+00    0.00000000e+00    6.62729284e-01    1.20000000e+00    5.96407527e-01    3.61872674e-01    1.19999995e+00
2809     1.35535591e-07    1.20000000e+00    0.00000000e+00    6.64270961e-01    1.20000000e+00    7.46972345e-01    3.34345823e-01    1.19999995e+00
2810     1.35548439e-07    1.20000000e+00    0.00000000e+00    6.65812638e-01    1.20000000e+00    9.15069976e-01    3.06222792e-01    1.19999995e+00
2811     1.35561286e-07    1.20000000e+00    0.00000000e+00    6.67354315e-01    1.20000000e+00    1.06142960e+00    2.77491139e-01    1.19999995e+00
2812     1.35563073e-07    1.20000000e+00    0.00000000e+00    6.67568815e-01    1.20000000e+00    1.07663663e+00    2.73438621e-01    1.19999995e+00
2813     1.35564861e-07    1.20000000e+00    0.00000000e+00    6.67783315e-01    1.20000000e+00    1.09115710e+00    2.69380130e-01    1.19999995e+00
2814     1.35568436e-07    1.20000000e+00    0.00000000e+00    6.68212316e-01    1.20000000e+00    1.11622339e+00    2.61227199e-01    1.19999995e+00
2815     1.35572011e-07    1.20000000e+00    0.00000000e+00    6.68641317e-01    1.20000000e+00    1.13637966e+00    2.53026131e-01    1.19999995e+00
2816     1.35575586e-07    1.20000000e+00    0.00000000e+00    6.69070318e-01    1.20000000e+00    1.15225997e+00    2.44776716e-01    1.19999995e+00
2817     1.35582736e-07    1.20000000e+00    0.00000000e+00    6.69928320e-01    1.20000000e+00    1.17418078e+00    2.28132195e-01    1.19999995e+00
2818     1.35597036e-07    1.20000000e+00    0.00000000e+00    6.71644323e-01    1.20000000e+00    1.19416147e+00    1.94256947e-01    1.19999996e+00
2819     1.35611336e-07    1.20000000e+00    0.00000000e+00    6.73360326e-01    1.20000000e+00    1.19891777e+00    1.59921174e-01    1.19999996e+00
2820     1.35625636e-07    1.20000000e+00    0.00000000e+00    6.75076330e-01    1.20000000e+00    1.19983481e+00    1.26603880e-01    1.19999996e+00
