TIME,TIME,I(VDD),{V(VDD)*I(VDD)},{-V(VDD)*I(VDD)}
9.87404581e-08,9.87404581e-08,-3.75834038e-07,-4.51000846e-07,4.51000846e-07
9.88065881e-08,9.88065881e-08,-2.46947549e-07,-2.96337059e-07,2.96337059e-07
9.89388481e-08,9.89388481e-08,-1.24028230e-07,-1.48833876e-07,1.48833876e-07
9.90711081e-08,9.90711081e-08,-7.81722604e-08,-9.38067125e-08,9.38067125e-08
9.93356281e-08,9.93356281e-08,-3.51924371e-08,-4.22309245e-08,4.22309245e-08
9.96001482e-08,9.96001482e-08,-2.27854337e-08,-2.73425204e-08,2.73425204e-08
1.00129188e-07,1.00129188e-07,-8.64704512e-09,-1.03764541e-08,1.03764541e-08
1.00658228e-07,1.00658228e-07,-6.88187557e-09,-8.25825068e-09,8.25825068e-09
1.01716308e-07,1.01716308e-07,-1.42839115e-09,-1.71406938e-09,1.71406938e-09
1.03832469e-07,1.03832469e-07,-2.04702043e-09,-2.45642451e-09,2.45642451e-09
1.05000000e-07,1.05000000e-07,4.80384159e-10,5.76460991e-10,-5.76460991e-10
1.05423232e-07,1.05423232e-07,-5.68593281e-10,-6.82311938e-10,6.82311938e-10
1.06269696e-07,1.06269696e-07,-4.81466246e-10,-5.77759495e-10,5.77759495e-10
1.07962624e-07,1.07962624e-07,-3.40115431e-10,-4.08138517e-10,4.08138517e-10
1.11348481e-07,1.11348481e-07,-1.98902999e-10,-2.38683599e-10,2.38683599e-10
1.18120194e-07,1.18120194e-07,-1.04493166e-10,-1.25391799e-10,1.25391799e-10
1.30000000e-07,1.30000000e-07,-5.61650032e-11,-6.73980038e-11,6.73980038e-11
1.30338586e-07,1.30338586e-07,-5.75137534e-11,-6.90165041e-11,6.90165041e-11
1.30600166e-07,1.30600166e-07,-5.71415550e-11,-6.85698660e-11,6.85698660e-11
1.31123325e-07,1.31123325e-07,-5.63759378e-11,-6.76511254e-11,6.76511254e-11
1.32169645e-07,1.32169645e-07,-5.49380929e-11,-6.59257115e-11,6.59257115e-11
1.34262284e-07,1.34262284e-07,-5.23946616e-11,-6.28735939e-11,6.28735939e-11
1.35308604e-07,1.35308604e-07,-5.12963091e-11,-6.15555710e-11,6.15555710e-11
1.36649285e-07,1.36649285e-07,-4.00707916e-07,-4.80849500e-07,4.80849500e-07
1.36984455e-07,1.36984455e-07,-1.23622927e-06,-1.48347513e-06,1.48347513e-06
1.37319625e-07,1.37319625e-07,-2.40050116e-06,-2.88060139e-06,2.88060139e-06
1.37654795e-07,1.37654795e-07,-3.52209079e-06,-4.22650895e-06,4.22650895e-06
1.37686355e-07,1.37686355e-07,-3.41471905e-06,-4.09766286e-06,4.09766286e-06
1.37749473e-07,1.37749473e-07,-3.02723650e-06,-3.63268380e-06,3.63268380e-06
1.37812591e-07,1.37812591e-07,-2.65734637e-06,-3.18881565e-06,3.18881565e-06
1.37875709e-07,1.37875709e-07,-2.31154619e-06,-2.77385543e-06,2.77385543e-06
1.37938827e-07,1.37938827e-07,-1.98984537e-06,-2.38781444e-06,2.38781444e-06
1.38001945e-07,1.38001945e-07,-1.69223450e-06,-2.03068140e-06,2.03068140e-06
1.38065063e-07,1.38065063e-07,-1.41872299e-06,-1.70246759e-06,1.70246759e-06
1.38128182e-07,1.38128182e-07,-1.16930142e-06,-1.40316171e-06,1.40316171e-06
1.38191300e-07,1.38191300e-07,-1.84164758e-06,-2.20997709e-06,2.20997709e-06
1.38200726e-07,1.38200726e-07,-2.82570288e-06,-3.39084346e-06,3.39084346e-06
1.38219578e-07,1.38219578e-07,-5.99008282e-06,-7.18809939e-06,7.18809939e-06
1.38257283e-07,1.38257283e-07,-1.76057132e-05,-2.11268559e-05,2.11268559e-05
1.38262320e-07,1.38262320e-07,-1.97424226e-05,-2.36909071e-05,2.36909071e-05
1.38267356e-07,1.38267356e-07,-2.20163137e-05,-2.64195764e-05,2.64195764e-05
1.38277430e-07,1.38277430e-07,-2.70072897e-05,-3.24087476e-05,3.24087476e-05
1.38287503e-07,1.38287503e-07,-3.26067379e-05,-3.91280854e-05,3.91280854e-05
1.38297576e-07,1.38297576e-07,-3.88358741e-05,-4.66030489e-05,4.66030489e-05
1.38307649e-07,1.38307649e-07,-4.57161129e-05,-5.48593355e-05,5.48593355e-05
1.38317723e-07,1.38317723e-07,-5.32690644e-05,-6.39228773e-05,6.39228773e-05
1.38327796e-07,1.38327796e-07,-6.15165309e-05,-7.38198371e-05,7.38198371e-05
1.38337869e-07,1.38337869e-07,-7.04805043e-05,-8.45766052e-05,8.45766052e-05
1.38347942e-07,1.38347942e-07,-8.01831627e-05,-9.62197953e-05,9.62197953e-05
1.38358016e-07,1.38358016e-07,-9.06508000e-05,-1.08780960e-04,1.08780960e-04
1.38359776e-07,1.38359776e-07,-9.25637337e-05,-1.11076480e-04,1.11076480e-04
1.38361537e-07,1.38361537e-07,-9.44989120e-05,-1.13398694e-04,1.13398694e-04
1.38365058e-07,1.38365058e-07,-9.84443332e-05,-1.18133200e-04,1.18133200e-04
1.38368579e-07,1.38368579e-07,-1.02464251e-04,-1.22957101e-04,1.22957101e-04
1.38372101e-07,1.38372101e-07,-1.06598771e-04,-1.27918525e-04,1.27918525e-04
1.38375622e-07,1.38375622e-07,-1.10832910e-04,-1.32999492e-04,1.32999492e-04
1.38379143e-07,1.38379143e-07,-1.12597223e-04,-1.35116668e-04,1.35116668e-04
1.38382664e-07,1.38382664e-07,-1.04705517e-04,-1.25646620e-04,1.25646620e-04
1.38386186e-07,1.38386186e-07,-8.92817401e-05,-1.07138088e-04,1.07138088e-04
1.38389355e-07,1.38389355e-07,-7.26578287e-05,-8.71893944e-05,8.71893944e-05
1.38392207e-07,1.38392207e-07,-5.80712914e-05,-6.96855497e-05,6.96855497e-05
1.38395059e-07,1.38395059e-07,-4.52569911e-05,-5.43083893e-05,5.43083893e-05
1.38397911e-07,1.38397911e-07,-3.47632898e-05,-4.17159477e-05,4.17159477e-05
1.38400763e-07,1.38400763e-07,-2.65836573e-05,-3.19003888e-05,3.19003888e-05
1.38401743e-07,1.38401743e-07,-2.43998914e-05,-2.92798697e-05,2.92798697e-05
1.38403703e-07,1.38403703e-07,-2.03889939e-05,-2.44667927e-05,2.44667927e-05
1.38405662e-07,1.38405662e-07,-1.71383256e-05,-2.05659908e-05,2.05659908e-05
1.38407622e-07,1.38407622e-07,-1.45264636e-05,-1.74317563e-05,1.74317563e-05
1.38409582e-07,1.38409582e-07,-1.24412522e-05,-1.49295027e-05,1.49295027e-05
1.38411541e-07,1.38411541e-07,-1.07818084e-05,-1.29381701e-05,1.29381701e-05
1.38413501e-07,1.38413501e-07,-9.46155524e-06,-1.13538663e-05,1.13538663e-05
1.38415460e-07,1.38415460e-07,-8.40860018e-06,-1.00903202e-05,1.00903202e-05
1.38419380e-07,1.38419380e-07,-6.86512078e-06,-8.23814493e-06,8.23814493e-06
1.38423299e-07,1.38423299e-07,-5.85002190e-06,-7.02002628e-06,7.02002628e-06
